timestamp,character_id
2025-05-01T10:15:23,1
2025-05-01T10:18:45,0
2025-05-01T10:22:11,1
2025-05-01T10:25:37,2
2025-05-01T10:29:02,1
2025-05-01T10:32:28,1
2025-05-01T10:35:54,0
2025-05-01T10:39:20,1
2025-05-01T10:42:46,2
2025-05-01T10:46:12,1
2025-05-01T10:49:38,1
2025-05-01T10:53:04,0
2025-05-01T10:56:30,1
2025-05-01T10:59:56,2
2025-05-01T11:03:22,1
2025-05-01T11:06:48,1
2025-05-01T11:10:14,0
2025-05-01T11:13:40,1
2025-05-01T11:17:06,2
2025-05-01T11:20:32,1
2025-05-01T11:23:58,1
2025-05-01T11:27:24,0
2025-05-01T11:30:50,1
2025-05-01T11:34:16,2
2025-05-01T11:37:42,1
2025-05-01T11:41:08,1
2025-05-01T11:44:34,0
2025-05-01T11:48:00,1
2025-05-01T11:51:26,2
2025-05-01T11:54:52,1
2025-05-01T11:58:18,1
2025-05-01T12:01:44,0
2025-05-01T12:05:10,1
2025-05-01T12:08:36,2
2025-05-01T12:12:02,1
2025-05-01T12:15:28,1
2025-05-01T12:18:54,0
2025-05-01T12:22:20,1
2025-05-01T12:25:46,2
2025-05-01T12:29:12,1
2025-05-01T12:32:38,1
2025-05-01T12:36:04,0
2025-05-01T12:39:30,1
2025-05-01T12:42:56,2
2025-05-01T12:46:22,1
2025-05-01T12:49:48,1
2025-05-01T12:53:14,0
2025-05-01T12:56:40,1
2025-05-01T13:00:06,2
2025-05-01T13:03:32,1
